scenario,trial,follower_id,switching_time_s,detection_ok,n_anchors,n_followers,pass_threshold_s,wall_time_s
S2,10,4,6.0551327066496015,True,3,10,15.0,23.9
S2,10,5,6.060474820900708,True,3,10,15.0,23.9
S2,10,6,6.171490133740008,True,3,10,15.0,23.9
S2,10,7,6.004313823301345,True,3,10,15.0,23.9
S2,10,8,6.091355032287538,True,3,10,15.0,23.9
S2,10,9,6.077140250708908,True,3,10,15.0,23.9
S2,11,0,6.096741064917296,True,3,10,15.0,21.66
S2,11,1,6.155624019913375,True,3,10,15.0,21.66
S2,11,2,6.010617322288454,True,3,10,15.0,21.66
S2,11,3,6.082035527098924,True,3,10,15.0,21.66
S2,11,4,6.036166037898511,True,3,10,15.0,21.66
S2,11,5,6.01783391693607,True,3,10,15.0,21.66
S2,11,6,6.11093974718824,True,3,10,15.0,21.66
S2,11,7,6.024058077018708,True,3,10,15.0,21.66
S2,11,8,6.058197731152177,True,3,10,15.0,21.66
S2,11,9,6.0871820617467165,True,3,10,15.0,21.66
S2,12,0,6.032059928867966,True,3,10,15.0,20.68
S2,12,1,6.151139191817492,True,3,10,15.0,20.68
S2,12,2,6.097785220015794,True,3,10,15.0,20.68
S2,12,3,6.151782998815179,True,3,10,15.0,20.68
S2,12,4,6.051024027168751,True,3,10,15.0,20.68
S2,12,5,6.042585306800902,True,3,10,15.0,20.68
S2,12,6,6.158833235036582,True,3,10,15.0,20.68
S2,12,7,6.075139539781958,True,3,10,15.0,20.68
S2,12,8,6.0672534089535475,True,3,10,15.0,20.68
S2,12,9,6.082070566248149,True,3,10,15.0,20.68
S2,13,0,6.0107007110491395,True,3,10,15.0,19.6
S2,13,1,6.040018539875746,True,3,10,15.0,19.6
S2,13,2,6.095194822642952,True,3,10,15.0,19.6
S2,13,3,6.043094574008137,True,3,10,15.0,19.6
S2,13,4,6.027183641213924,True,3,10,15.0,19.6
S2,13,5,6.015793687198311,True,3,10,15.0,19.6
S2,13,6,6.141575037967414,True,3,10,15.0,19.6
S2,13,7,6.116200890857726,True,3,10,15.0,19.6
S2,13,8,6.009073918685317,True,3,10,15.0,19.6
S2,13,9,6.02063727285713,True,3,10,15.0,19.6
S2,17,0,6.027934248093516,True,3,10,15.0,21.33
S2,17,1,6.091305531095713,True,3,10,15.0,21.33
S2,17,2,6.179352734703571,True,3,10,15.0,21.33
S2,17,3,6.010070484131575,True,3,10,15.0,21.33
S2,17,4,6.030109367333353,True,3,10,15.0,21.33
S2,17,5,6.040957095101476,True,3,10,15.0,21.33
S2,17,6,6.1748042069375515,True,3,10,15.0,21.33
S2,17,7,6.008050694130361,True,3,10,15.0,21.33
S2,17,8,6.061354205943644,True,3,10,15.0,21.33
S2,17,9,6.089322580955923,True,3,10,15.0,21.33
S2,15,0,6.108337508048862,True,3,10,15.0,23.12
S2,15,1,6.011002480052412,True,3,10,15.0,23.12
S2,15,2,6.081484358757734,True,3,10,15.0,23.12
S2,15,3,6.175290555227548,True,3,10,15.0,23.12
S2,15,4,6.075901934877038,True,3,10,15.0,23.12
S2,15,5,6.096154817845672,True,3,10,15.0,23.12
S2,15,6,6.07119089923799,True,3,10,15.0,23.12
S2,15,7,6.036042037885636,True,3,10,15.0,23.12
S2,15,8,6.108025071211159,True,3,10,15.0,23.12
S2,15,9,6.117835912853479,True,3,10,15.0,23.12
S2,14,0,6.050246519967914,True,3,10,15.0,23.19
S2,14,1,6.038389788009226,True,3,10,15.0,23.19
S2,14,2,6.083598458208144,True,3,10,15.0,23.19
S2,14,3,6.1784060299396515,True,3,10,15.0,23.19
S2,14,4,6.100552196148783,True,3,10,15.0,23.19
S2,14,5,6.055706464219838,True,3,10,15.0,23.19
S2,14,6,6.264614732004702,True,3,10,15.0,23.19
S2,14,7,6.012351993937045,True,3,10,15.0,23.19
S2,14,8,6.133709575980902,True,3,10,15.0,23.19
S2,14,9,6.260173764079809,True,3,10,15.0,23.19
