k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
0,153,1000153,0,0.3583,0.451,0.3257,0.1189,600,3,3,0,20.0,0.0,50.0,50.61
0,154,1000154,0,0.2918,0.3668,0.3096,0.041,600,3,3,0,20.0,0.0,50.0,50.61
0,156,1000156,0,0.2773,0.6566,0.3846,0.1936,600,3,3,0,20.0,0.0,50.0,50.59
0,155,1000155,0,0.161,0.4088,0.2168,0.1403,600,3,3,0,20.0,0.0,50.0,50.63
0,158,1000158,0,0.7725,0.9434,0.7613,0.1555,600,3,3,0,20.0,0.0,50.0,50.62
0,157,1000157,0,0.396,0.5242,0.4229,0.0748,600,3,3,0,20.0,0.0,50.0,50.64
0,159,1000159,0,0.6103,0.743,0.6207,0.0959,600,3,3,0,20.0,0.0,50.0,50.63
0,160,1000160,0,0.2557,0.4107,0.2833,0.095,600,3,3,0,20.0,0.0,50.0,50.6
0,161,1000161,0,0.924,0.9314,0.793,0.1916,600,3,3,0,20.0,0.0,50.0,50.63
0,162,1000162,0,0.5583,0.6649,0.5292,0.1244,600,3,3,0,20.0,0.0,50.0,50.63
0,163,1000163,0,0.1931,0.8121,0.3528,0.3262,600,3,3,0,20.0,0.0,50.0,50.63
0,164,1000164,0,0.5607,0.5963,0.5045,0.1057,600,3,3,0,20.0,0.0,50.0,50.61
0,165,1000165,0,0.6602,0.8705,0.679,0.1494,600,3,3,0,20.0,0.0,50.0,50.63
0,166,1000166,0,0.5644,0.6126,0.5805,0.0224,600,3,3,0,20.0,0.0,50.0,50.62
0,167,1000167,0,0.609,0.7657,0.5815,0.1625,600,3,3,0,20.0,0.0,50.0,50.61
0,168,1000168,0,0.6334,0.6396,0.6333,0.0054,600,3,3,0,20.0,0.0,50.0,50.6
0,169,1000169,0,0.2345,0.5199,0.3058,0.1552,600,3,3,0,20.0,0.0,50.0,50.61
0,170,1000170,0,0.4412,0.4661,0.3695,0.1205,600,3,3,0,20.0,0.0,50.0,50.61
0,171,1000171,0,1.0335,1.2002,1.014,0.1622,600,3,3,0,20.0,0.0,50.0,50.62
0,174,1000174,0,0.4239,0.4567,0.4196,0.0335,600,3,3,0,20.0,0.0,50.0,50.6
0,172,1000172,0,0.2639,0.4338,0.3163,0.0828,600,3,3,0,20.0,0.0,50.0,50.65
0,175,1000175,0,0.4926,0.631,0.537,0.0652,600,3,3,0,20.0,0.0,50.0,50.61
0,173,1000173,0,0.7621,0.7644,0.713,0.071,600,3,3,0,20.0,0.0,50.0,50.64
0,176,1000176,0,0.3553,0.3657,0.3385,0.0325,600,3,3,0,20.0,0.0,50.0,50.6
0,177,1000177,0,1.0748,1.266,1.0827,0.1484,600,3,3,0,20.0,0.0,50.0,50.6
0,178,1000178,0,0.5308,0.5729,0.4774,0.1068,600,3,3,0,20.0,0.0,50.0,50.61
0,181,1000181,0,1.1064,1.1217,1.09,0.0358,600,3,3,0,20.0,0.0,50.0,50.59
0,179,1000179,0,0.2805,0.6714,0.3468,0.2415,600,3,3,0,20.0,0.0,50.0,50.62
0,180,1000180,0,0.536,0.7877,0.5753,0.1579,600,3,3,0,20.0,0.0,50.0,50.62
0,182,1000182,0,0.2153,0.4036,0.2561,0.1058,600,3,3,0,20.0,0.0,50.0,50.63
0,183,1000183,0,0.2922,0.5374,0.3567,0.1302,600,3,3,0,20.0,0.0,50.0,50.62
0,184,1000184,0,0.3579,0.5842,0.3813,0.1556,600,3,3,0,20.0,0.0,50.0,50.62
0,185,1000185,0,0.1782,0.181,0.169,0.015,600,3,3,0,20.0,0.0,50.0,50.62
0,186,1000186,0,0.2004,0.2222,0.1957,0.024,600,3,3,0,20.0,0.0,50.0,50.62
0,187,1000187,0,0.5769,0.6447,0.4633,0.2111,600,3,3,0,20.0,0.0,50.0,50.6
0,189,1000189,0,0.2202,0.277,0.2337,0.0336,600,3,3,0,20.0,0.0,50.0,50.59
0,188,1000188,0,0.7051,0.77,0.7141,0.0423,600,3,3,0,20.0,0.0,50.0,50.63
0,191,1000191,0,0.2467,0.5079,0.332,0.1242,600,3,3,0,20.0,0.0,50.0,50.6
0,190,1000190,0,0.494,0.6526,0.4826,0.1441,600,3,3,0,20.0,0.0,50.0,50.62
0,192,1000192,0,0.5113,0.7164,0.5703,0.1053,600,3,3,0,20.0,0.0,50.0,50.58
0,193,1000193,0,0.4775,0.6073,0.4894,0.0931,600,3,3,0,20.0,0.0,50.0,50.61
0,194,1000194,0,0.7466,0.8532,0.7811,0.0509,600,3,3,0,20.0,0.0,50.0,50.62
0,195,1000195,0,0.5405,0.5478,0.4967,0.0682,600,3,3,0,20.0,0.0,50.0,50.63
0,197,1000197,0,0.4355,0.689,0.4735,0.1622,600,3,3,0,20.0,0.0,50.0,50.62
0,196,1000196,0,0.2731,0.3923,0.2924,0.0755,600,3,3,0,20.0,0.0,50.0,50.64
0,198,1000198,0,0.7491,1.0195,0.7686,0.1979,600,3,3,0,20.0,0.0,50.0,50.62
0,199,1000199,0,0.3565,0.391,0.3474,0.0402,600,3,3,0,20.0,0.0,50.0,50.62
1,0,1100000,1,6.685,8.5528,6.7332,1.2278,292,6,14,3,54.733,-49.004,50.0,50.88
1,1,1100001,1,8.7972,16.4674,11.3603,4.2746,489,6,13,3,89.73,23.891,50.0,50.87
1,2,1100002,1,12.8758,13.0015,11.8844,1.5251,383,6,14,3,20.242,96.662,50.0,50.87
1,3,1100003,1,4.3767,6.1583,5.0245,0.8787,278,6,14,3,-54.691,-29.745,50.0,50.9
1,4,1100004,1,8.2838,8.3282,8.2435,0.0697,289,6,14,3,-14.387,-58.872,50.0,50.87
1,7,1100007,1,3.603,4.7948,4.1249,0.5971,312,6,13,3,-37.724,-46.886,50.0,50.87
1,5,1100005,1,5.3386,5.9522,3.5975,2.1489,379,6,14,3,-53.174,-31.762,50.0,50.91
1,6,1100006,1,10.3763,10.5209,6.842,3.6402,339,6,14,3,79.359,-22.546,50.0,50.91
1,8,1100008,1,8.4303,9.5026,8.4643,0.7749,273,6,14,3,21.523,96.486,50.0,50.85
1,9,1100009,1,6.2986,16.1377,9.9899,5.3108,468,6,14,3,-68.216,34.122,50.0,50.86
1,10,1100010,1,2.9444,3.4836,2.9871,0.3109,275,6,13,3,-32.532,-50.436,50.0,50.85
1,12,1100012,1,6.1437,6.3789,6.1637,0.17,316,6,13,3,-39.618,80.075,50.0,50.85
1,11,1100011,1,2.7694,5.5792,3.7959,1.3295,272,6,14,3,40.575,-56.606,50.0,50.87
1,13,1100013,1,12.1714,12.2056,10.8298,1.4485,375,6,14,3,77.471,-25.665,50.0,50.89
1,14,1100014,1,10.7822,16.0896,11.2947,1.5378,269,6,14,3,-45.866,74.583,50.0,50.88
1,15,1100015,1,5.2021,9.9836,6.1958,2.6673,547,6,14,3,84.118,47.429,50.0,50.89
1,16,1100016,1,12.867,14.2429,10.6497,3.435,363,6,14,3,4.391,97.124,50.0,50.88
1,17,1100017,1,9.2868,9.4928,9.2574,0.1699,271,6,14,3,-55.626,-28.431,50.0,50.82
1,18,1100018,1,9.226,9.7639,8.8743,0.8184,270,6,13,3,-38.105,81.241,50.0,50.82
1,20,1100020,1,10.5541,16.0099,12.4003,2.5959,278,6,13,3,-39.391,80.254,50.0,50.83
1,19,1100019,1,13.1636,13.6894,11.9525,1.643,445,6,14,3,35.021,93.307,50.0,50.9
1,22,1100022,1,3.4405,5.4182,3.7836,1.5804,323,6,14,3,-68.308,0.954,50.0,50.86
1,23,1100023,1,2.3015,3.832,2.7064,0.7432,312,6,13,3,89.13,5.553,50.0,50.86
1,21,1100021,1,11.3422,12.2595,10.4005,2.1426,289,6,14,3,-55.904,62.67,50.0,50.89
1,24,1100024,1,3.2048,3.989,3.1489,0.4907,272,6,14,3,26.292,95.644,50.0,50.86
1,26,1100026,1,9.7265,10.0323,9.6113,0.436,288,6,14,3,-48.061,72.356,50.0,50.85
1,25,1100025,1,4.3109,4.756,4.3128,0.3723,261,6,14,3,36.652,-58.11,50.0,50.87
1,27,1100027,1,10.2656,11.8455,10.349,0.6037,282,6,14,3,35.613,93.11,50.0,50.87
